Key,English [en-GB]
002_T,Gain <sprite name=XP1> for each time you Retaliate this round.
004_B,"Any enemy who targets one of your adjacent allies with an attack this round targets you with that attack instead, regardless of the attack's range."
007_B,"On the next six sources of damage from attacks targeting you, gain <nobr>Shield <sprite name=Shield> *BShield*.</nobr>"
012_B,where X is the amount of damage you have inflicted so far this turn.
012_T,where X is the number of hexes you have moved so far this turn.
013_B,Add <nobr>+1 Attack <sprite name=Attack></nobr> to all of your attacks this round.
015_B,"On the next three sources of damage to you, suffer no damage instead."
016_B_1,"If the movement was in a straight line, perform"
016_B_2,where X is the number of hexes you moved with this action.
022_T,Kill one adjacent normal enemy with  STUN <size=130%><voffset=-1.5><sprite name=Stun></voffset></size>.
023_B,You may treat all Move <sprite name=Move> abilities as Attack <sprite name=Attack> abilities of equal value.
026_B,"Add +3 <nobr>Attack <sprite name=Attack></nobr> to all your attacks targeting enemies with <nobr>DISARM <sprite name=Disarm></nobr>, <nobr>IMMOBILIZE <sprite name=Immobilize></nobr> or <nobr>STUN <sprite name=Stun></nobr> this round."
030_T_1,Create one 6 damage trap in an adjacent empty hex.
030_T_2,Gain <sprite name=XP2> when the trap is sprung by an enemy.
031_T,Summon Decoy
037_B,One adjacent Ally may Recover <size=130%><voffset=-2><sprite name=Recover></voffset></size> all their discarded cards.
040_B,You and all adjacent allies add +1 Attack <sprite name=Attack> to all your attacks this round.
043_B_1,One ally within <nobr>Range <sprite name=Range> 2</nobr> may Recover <size=130%><voffset=-2><sprite name=Recover></voffset></size> one of their discarded cards.
043_B_2,Up to two discarded cards instead.
043_T,Create one 2 damage POISON <size=130%><voffset=-1.5><sprite name=Poison></voffset></size> trap in an adjacent empty hex.
044_T,"On your next four Heal actions, add <nobr>+2 Heal <sprite name=Heal></nobr>."
045_B,One ally within <nobr>Range <sprite name=Range> 3</nobr> may Recover <size=130%><voffset=-2><sprite name=Recover></voffset></size> one of their lost cards.
047_B,Create one STUN <size=130%><voffset=-1.5><sprite name=Stun></voffset></size> trap in an adjacent empty hex.
049_T,Summon Battle Bot
051_T,One adjacent ally may <nobr>Refresh <sprite name=Refresh></nobr> one of their consumed <sprite name=InvSmallItem> items.
052_T_1,Kill all enemies in the targeted area whose current hit point value is equal to or <nobr>less than 5</nobr>. 
052_T_2,Gain <sprite name=XP1> for each enemy killed.
053_B,"At the end of your next four turns, one ally within <nobr>Range <sprite name=Range> 3</nobr> may Recover <size=130%><voffset=-2><sprite name=Recover></voffset></size> one of their discarded cards."
053_T,Create one 4 damage  <nobr>MUDDLE <sprite name=Muddle></nobr> trap in an adjacent hex.
054_T,"At the end of your next five turns, perform an <nobr>""Attack <sprite name=Attack>2,</nobr> <nobr>Range <sprite name=Range>5"" action.</nobr>"
055_T,Summon Kill Bot
057_T,All summoned allies within <nobr>Range <sprite name=Range> 3</nobr> may perform
058_B_1,All adjacent allies add +2 Attack <sprite name=Attack> to all their attacks this round.
058_B_2,All adjacent allies suffer 2 damage.
058_T,Suffer 2 damage.
062_T,"Additionally, target all enemies <nobr>on the path</nobr> to the primary target."
063_T,Recover <size=130%><voffset=-2><sprite name=Recover></voffset></size> all your burned cards.
